Time,Period,iPhone,iPad,Mac
Q1/11,50,18.647,4.694,3.76
Q2/11,51,20.338,9.246,3.947
Q3/11,52,17.073,11.123,4.894
Q4/11,53,37.044,15.434,5.198
Q1/12,54,35.064,11.798,4.017
Q2/12,55,26.028,17.042,4.02
Q3/12,56,26.91,14.036,4.923
Q4/12,57,47.789,22.86,4.061
Q1/13,58,37.43,19.477,3.952
Q2/13,59,31.241,14.617,3.754
Q3/13,60,33.797,14.079,4.574
Q4/13,61,51.025,26.035,4.837
Q1/14,62,43.719,16.35,4.136
Q2/14,63,35.203,13.276,4.413
Q3/14,64,39.272,12.316,5.52
Q4/14,65,74.468,21.419,5.519
Q1/15,66,61.17,12.623,4.563
Q2/15,67,47.534,10.931,4.796
Q3/15,68,48.05,9.88,5.71
Q4/15,69,74.78,16.12,5.31
